file	modName	active	credentialFieldsRemoved
Mod_3326145525_NewsMod.xml	边缘仙路-俗世仙工 RimImmortal-Living[1.6]	True	False
Mod_3339063087_VPERunesmith.xml	Vanilla Psycasts Expanded - Runesmith	True	False
Mod_3381392312_OAGene_SnowstormMod.xml	[OA]Ratkin Scenario: Snowstorm Orphan	True	False
Mod_3391128917_RealFoWModStarter.xml	(NWN) Real Fog of War (Continued)	True	False
Mod_3396308787_UseThisInsteadMod.xml	Use This Instead	True	False
Mod_3400246558_SkillsMod.xml	Vanilla Skills Expanded	True	False
Mod_3412260468_ModSettingUI.xml	MoeLotl Faction Expand	True	False
Mod_3421959154_CinderMod.xml	Cinders of the Embergarden	True	False
Mod_3443626025_LevelUpMod.xml	Level This! (Continued)	True	False
Mod_3446237098_Notice_Mod.xml	CeleTech Arsenal MKIII	True	False
Mod_3446237098_Settings_CMC_Main.xml	CeleTech Arsenal MKIII	True	False
Mod_3454053400_RMMod.xml	MoeLotl: Rigor Mortis	True	False
Mod_3461137081_VisibleWealthMod.xml	Visible Wealth	True	False
Mod_3461478214_KeepConverting.xml	Keep Converting	True	False
Mod_3492954974_EliteRaidMod.xml	Elite Raid 精英化袭击	True	False
Mod_3496629836_Mod_MilianModification.xml	Milira Tech: Milian Modification	True	False
Mod_3505290557_SemiRandomResearchMod.xml	Semi Random Research: Progression Fork	True	False
Mod_3512466087_QualityBuilderMod.xml	QualityBuilder Unofficial 1.6	True	False
Mod_3513846773_QualityColorsMod.xml	Quality Colors (Continued)	True	False
Mod_3514746737_Notice_Mod.xml	Epona Dynastic Rise	True	False
Mod_3522759531_GravshipSizeSettings.xml	Bigger Gravships (and other Odyssey spaceship related settings)	True	False
Mod_3524116050_SlowerPawnTickRate.xml	Performance - Slower Pawn Tick Rate	True	False
Mod_3526934473_TransmogMod.xml	Transmog (Fork)	True	False
Mod_3527036311_Settings_GW_Main.xml	not mapped to current active item	False	False
Mod_3534748687_AWL_Mod.xml	[SRC]Miho,Star Ring Corporation	True	False
Mod_3534748687_Notice_Mod.xml	[SRC]Miho,Star Ring Corporation	True	False
Mod_3534748687_SR_Mod.xml	[SRC]Miho,Star Ring Corporation	True	False
Mod_3535112473_Rimpsyche.xml	Rimpsyche - Personality Core	True	False
Mod_3540066516_PrefabProjectMod.xml	Universal Blueprints	True	False
Mod_3540310727_SleepTimeMod.xml	not mapped to current active item	False	False
Mod_3545384484_LandOnAnythingMod.xml	Land On Anything	True	False
Mod_3550544871_GDMod.xml	Glitterworld Destroyer 5 - Mechanoid Addon	True	False
Mod_3550544871_GDUpdateMod.xml	Glitterworld Destroyer 5 - Mechanoid Addon	True	False
Mod_3550578949_MK3expand_Mod.xml	Glitterworld Destroyer 5 Expansion	True	False
Mod_3551203752_Settings.xml	RimTalk	True	True
Mod_3555799437_NCL_Storyteller_Mod.xml	Mechanoids: Total Warfare	True	False
Mod_3555799437_TotalWarfareMod.xml	Mechanoids: Total Warfare	True	False
Mod_3558393733_MSMMod.xml	Mood Stress and Motivation	True	False
Mod_3560043283_MiliraExpandedXY.xml	Milira Expanded - Future Technology	True	False
Mod_3562365100_RunAndGun.xml	RunAndGun - Continued	True	False
Mod_3562373405_Settings.xml	not mapped to current active item	False	True
Mod_3562954061_ChatOverlayMod.xml	Chatlog Overlay	True	False
Mod_3574400467_AmbientLightMod.xml	Ambient Light	True	False
Mod_3577932060_AutoUpgradeMod.xml	not mapped to current active item	False	False
Mod_3578170180_NYMod.xml	中式龙娘——冶龍 SMELTED LOONG	True	False
Mod_3578212339_Rimpsyche.xml	Rimpsyche - Disposition	True	False
Mod_3578444636_OdysseyPatchMod.xml	1trickPwnyta's Odyssey Patch	True	False
Mod_3578882219_MooGirlMod.xml	Mugirl Race	True	False
Mod_3578882219_MugirlMod.xml	Mugirl Race	True	False
Mod_3588393755_Settings_MI_Main.xml	Milira Faction: Milira Imperium	True	False
Mod_3590863552_EducationMod.xml	Progression: Education	True	False
Mod_3597124120_NecroMod.xml	The Army Of Fetid Corpses (Continued)	True	False
Mod_3610069762_GodHandModMain.xml	not mapped to current active item	False	False
Mod_3626456960_Mod_Settings_PLAMilira.xml	Milira:Wings of Democracy	True	False
Mod_3655037598_MiliraKiiroCuddleMod.xml	MiliraKiiroCuddle	True	False
Mod_3665997350_Settings_AL_Main.xml	Ariandel Library	True	False
Mod_3698641606_MainMod.xml	"Wolfein extension:""Little Red Riding Hood"""	True	False
Mod_3701480464_FactionColoniesMod.xml	Empire Refactored	True	False
Mod_3723552881_RimTuberMod.xml	not mapped to current active item	False	False
Mod_715759739_Mod.xml	not mapped to current active item	False	False
Mod_836308268_DubsBadHygieneMod.xml	Dubs Bad Hygiene	True	False
Mod_839005762_AlienRaceMod.xml	Humanoid Alien Races	True	False
Mod_872762753_MinifyMod.xml	MinifyEverything	True	False
Mod_935982361_Mod_ImprovedWorkbenches.xml	Better Workbench Management	True	False
Mod_IrisRitualRecruitment_RecruitmentMod.xml	Iris Ritual Recruitment · 仪式招募白名单	True	False
Mod_IrisTalentProgression_TalentMod.xml	Iris Talent Progression	True	False
Mod_IrisTextureBudget_TextureBudgetMod.xml	Iris Texture Budget	True	False
Mod_IrisBalance_RaidBudgetBalance.xml	IrisBalance	True	False
